Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,Condition_Id,list_number,participant_id,record,record_training,version,Always_Fullscreen,Browser_Spec,BrowserVersion_Spec,Completed,Crowdsourcing_Code,Crowdsourcing_SubjId,End_Time,End_Time_Local,Exp_Subject_Id,Experiment_Version,Group_Name,Group_Nr,Rec_Session_Id,Screen_Refresh_Rate,Session_Name,Session_Nr,Session_Token,Start_Time,Start_Time_Local,Subject_Code,Subject_Nr,Subject_Nr_Per_Group,System_Spec,TimeMeasure_Mean,TimeMeasure_Std,Window_Height_In_Pixels,Window_Width_In_Pixels
1214788,1,1,block_1,1,imported_id_consent,1,1,"",yn08rtmh,"","","",true,Labvanced,1.1.22,true,"","",2024-12-16T09:23:39.118Z,2024-12-16 10:23:39+01,1042275,791,group_1,1,1214788,29.999850061499124,session_1,1,d7186593a27c37978cf5a316304ed4a2f4a011aa4d8282be,2024-12-16T09:10:03.237Z,2024-12-16 10:09:34+01,yn08rtmh,1,1,Windows-PC,3.6666666666666714,20.844515517528652,960,1440
1214788,1,1,block_1,1,version,2,1,"","","","",Version 2,true,Labvanced,1.1.22,true,"","",2024-12-16T09:23:39.118Z,2024-12-16 10:23:39+01,1042275,791,group_1,1,1214788,29.999850061499124,session_1,1,d7186593a27c37978cf5a316304ed4a2f4a011aa4d8282be,2024-12-16T09:10:03.237Z,2024-12-16 10:09:34+01,yn08rtmh,1,1,Windows-PC,3.6666666666666714,20.844515517528652,960,1440
1214788,1,1,block_1,1,training,3,1,"","","",blockNr_1_taskNr_3_trialNr_1_record_training.mp3,"",true,Labvanced,1.1.22,true,"","",2024-12-16T09:23:39.118Z,2024-12-16 10:23:39+01,1042275,791,group_1,1,1214788,29.999850061499124,session_1,1,d7186593a27c37978cf5a316304ed4a2f4a011aa4d8282be,2024-12-16T09:10:03.237Z,2024-12-16 10:09:34+01,yn08rtmh,1,1,Windows-PC,3.6666666666666714,20.844515517528652,960,1440
1214788,1,1,block_1,1,pause,4,1,"","","","","",true,Labvanced,1.1.22,true,"","",2024-12-16T09:23:39.118Z,2024-12-16 10:23:39+01,1042275,791,group_1,1,1214788,29.999850061499124,session_1,1,d7186593a27c37978cf5a316304ed4a2f4a011aa4d8282be,2024-12-16T09:10:03.237Z,2024-12-16 10:09:34+01,yn08rtmh,1,1,Windows-PC,3.6666666666666714,20.844515517528652,960,1440
1214788,1,1,block_1,1,task_1,5,1,2,"",blockNr_1_taskNr_5_trialNr_1_record.mp3,"","",true,Labvanced,1.1.22,true,"","",2024-12-16T09:23:39.118Z,2024-12-16 10:23:39+01,1042275,791,group_1,1,1214788,29.999850061499124,session_1,1,d7186593a27c37978cf5a316304ed4a2f4a011aa4d8282be,2024-12-16T09:10:03.237Z,2024-12-16 10:09:34+01,yn08rtmh,1,1,Windows-PC,3.6666666666666714,20.844515517528652,960,1440
1214788,1,1,block_1,1,imported_thanks,6,1,"","","","","",true,Labvanced,1.1.22,true,"","",2024-12-16T09:23:39.118Z,2024-12-16 10:23:39+01,1042275,791,group_1,1,1214788,29.999850061499124,session_1,1,d7186593a27c37978cf5a316304ed4a2f4a011aa4d8282be,2024-12-16T09:10:03.237Z,2024-12-16 10:09:34+01,yn08rtmh,1,1,Windows-PC,3.6666666666666714,20.844515517528652,960,1440
1214788,2,2,block_1,1,task_1,5,1,2,"",blockNr_1_taskNr_5_trialNr_2_record.mp3,"","",true,Labvanced,1.1.22,true,"","",2024-12-16T09:23:39.118Z,2024-12-16 10:23:39+01,1042275,791,group_1,1,1214788,29.999850061499124,session_1,1,d7186593a27c37978cf5a316304ed4a2f4a011aa4d8282be,2024-12-16T09:10:03.237Z,2024-12-16 10:09:34+01,yn08rtmh,1,1,Windows-PC,3.6666666666666714,20.844515517528652,960,1440
1214788,2,2,block_1,1,training,3,1,"","","",blockNr_1_taskNr_3_trialNr_2_record_training.mp3,"",true,Labvanced,1.1.22,true,"","",2024-12-16T09:23:39.118Z,2024-12-16 10:23:39+01,1042275,791,group_1,1,1214788,29.999850061499124,session_1,1,d7186593a27c37978cf5a316304ed4a2f4a011aa4d8282be,2024-12-16T09:10:03.237Z,2024-12-16 10:09:34+01,yn08rtmh,1,1,Windows-PC,3.6666666666666714,20.844515517528652,960,1440
1214788,3,3,block_1,1,task_1,5,1,2,"",blockNr_1_taskNr_5_trialNr_3_record.mp3,"","",true,Labvanced,1.1.22,true,"","",2024-12-16T09:23:39.118Z,2024-12-16 10:23:39+01,1042275,791,group_1,1,1214788,29.999850061499124,session_1,1,d7186593a27c37978cf5a316304ed4a2f4a011aa4d8282be,2024-12-16T09:10:03.237Z,2024-12-16 10:09:34+01,yn08rtmh,1,1,Windows-PC,3.6666666666666714,20.844515517528652,960,1440
1214788,3,3,block_1,1,training,3,1,"","","",blockNr_1_taskNr_3_trialNr_3_record_training.mp3,"",true,Labvanced,1.1.22,true,"","",2024-12-16T09:23:39.118Z,2024-12-16 10:23:39+01,1042275,791,group_1,1,1214788,29.999850061499124,session_1,1,d7186593a27c37978cf5a316304ed4a2f4a011aa4d8282be,2024-12-16T09:10:03.237Z,2024-12-16 10:09:34+01,yn08rtmh,1,1,Windows-PC,3.6666666666666714,20.844515517528652,960,1440
1214788,4,4,block_1,1,task_1,5,1,2,"",blockNr_1_taskNr_5_trialNr_4_record.mp3,"","",true,Labvanced,1.1.22,true,"","",2024-12-16T09:23:39.118Z,2024-12-16 10:23:39+01,1042275,791,group_1,1,1214788,29.999850061499124,session_1,1,d7186593a27c37978cf5a316304ed4a2f4a011aa4d8282be,2024-12-16T09:10:03.237Z,2024-12-16 10:09:34+01,yn08rtmh,1,1,Windows-PC,3.6666666666666714,20.844515517528652,960,1440
1214788,5,5,block_1,1,task_1,5,1,2,"",blockNr_1_taskNr_5_trialNr_5_record.mp3,"","",true,Labvanced,1.1.22,true,"","",2024-12-16T09:23:39.118Z,2024-12-16 10:23:39+01,1042275,791,group_1,1,1214788,29.999850061499124,session_1,1,d7186593a27c37978cf5a316304ed4a2f4a011aa4d8282be,2024-12-16T09:10:03.237Z,2024-12-16 10:09:34+01,yn08rtmh,1,1,Windows-PC,3.6666666666666714,20.844515517528652,960,1440
1214788,6,6,block_1,1,task_1,5,1,2,"",blockNr_1_taskNr_5_trialNr_6_record.mp3,"","",true,Labvanced,1.1.22,true,"","",2024-12-16T09:23:39.118Z,2024-12-16 10:23:39+01,1042275,791,group_1,1,1214788,29.999850061499124,session_1,1,d7186593a27c37978cf5a316304ed4a2f4a011aa4d8282be,2024-12-16T09:10:03.237Z,2024-12-16 10:09:34+01,yn08rtmh,1,1,Windows-PC,3.6666666666666714,20.844515517528652,960,1440
1214788,7,7,block_1,1,task_1,5,1,2,"",blockNr_1_taskNr_5_trialNr_7_record.mp3,"","",true,Labvanced,1.1.22,true,"","",2024-12-16T09:23:39.118Z,2024-12-16 10:23:39+01,1042275,791,group_1,1,1214788,29.999850061499124,session_1,1,d7186593a27c37978cf5a316304ed4a2f4a011aa4d8282be,2024-12-16T09:10:03.237Z,2024-12-16 10:09:34+01,yn08rtmh,1,1,Windows-PC,3.6666666666666714,20.844515517528652,960,1440
1214788,8,8,block_1,1,task_1,5,1,2,"",blockNr_1_taskNr_5_trialNr_8_record.mp3,"","",true,Labvanced,1.1.22,true,"","",2024-12-16T09:23:39.118Z,2024-12-16 10:23:39+01,1042275,791,group_1,1,1214788,29.999850061499124,session_1,1,d7186593a27c37978cf5a316304ed4a2f4a011aa4d8282be,2024-12-16T09:10:03.237Z,2024-12-16 10:09:34+01,yn08rtmh,1,1,Windows-PC,3.6666666666666714,20.844515517528652,960,1440
1214788,9,9,block_1,1,task_1,5,1,2,"",blockNr_1_taskNr_5_trialNr_9_record.mp3,"","",true,Labvanced,1.1.22,true,"","",2024-12-16T09:23:39.118Z,2024-12-16 10:23:39+01,1042275,791,group_1,1,1214788,29.999850061499124,session_1,1,d7186593a27c37978cf5a316304ed4a2f4a011aa4d8282be,2024-12-16T09:10:03.237Z,2024-12-16 10:09:34+01,yn08rtmh,1,1,Windows-PC,3.6666666666666714,20.844515517528652,960,1440
1214788,10,10,block_1,1,task_1,5,1,2,"",blockNr_1_taskNr_5_trialNr_10_record.mp3,"","",true,Labvanced,1.1.22,true,"","",2024-12-16T09:23:39.118Z,2024-12-16 10:23:39+01,1042275,791,group_1,1,1214788,29.999850061499124,session_1,1,d7186593a27c37978cf5a316304ed4a2f4a011aa4d8282be,2024-12-16T09:10:03.237Z,2024-12-16 10:09:34+01,yn08rtmh,1,1,Windows-PC,3.6666666666666714,20.844515517528652,960,1440
1214788,11,11,block_1,1,task_1,5,1,2,"",blockNr_1_taskNr_5_trialNr_11_record.mp3,"","",true,Labvanced,1.1.22,true,"","",2024-12-16T09:23:39.118Z,2024-12-16 10:23:39+01,1042275,791,group_1,1,1214788,29.999850061499124,session_1,1,d7186593a27c37978cf5a316304ed4a2f4a011aa4d8282be,2024-12-16T09:10:03.237Z,2024-12-16 10:09:34+01,yn08rtmh,1,1,Windows-PC,3.6666666666666714,20.844515517528652,960,1440
1214788,12,12,block_1,1,task_1,5,1,2,"",blockNr_1_taskNr_5_trialNr_12_record.mp3,"","",true,Labvanced,1.1.22,true,"","",2024-12-16T09:23:39.118Z,2024-12-16 10:23:39+01,1042275,791,group_1,1,1214788,29.999850061499124,session_1,1,d7186593a27c37978cf5a316304ed4a2f4a011aa4d8282be,2024-12-16T09:10:03.237Z,2024-12-16 10:09:34+01,yn08rtmh,1,1,Windows-PC,3.6666666666666714,20.844515517528652,960,1440
